sample_id	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct
Y2.2t90	68529	63695	63645	63669	63580	45421	92.9460520363642	92.7782398692524	66.2799690641918	26.4982708050606
Y2.3t30	65453	59236	59077	59131	58694	56601	90.501581287336	89.673506180007	86.4757917895284	3.19771439047866
Y2.3t7	63835	58451	58354	58337	57855	56968	91.5657554633038	90.6320983786324	89.242578522754	1.38951985587844
Y2.3t90	63367	57845	57661	57802	57575	54299	91.2856849779854	90.8595956886076	85.6897123108243	5.16988337778339
Y2.4t30	77397	69935	69791	69829	69656	61433	90.3587994366707	89.9983203483339	79.3738775404732	10.6244428078608
Y2.4t7	65042	60745	60501	60361	59357	57655	93.3934995848836	91.2594938655023	88.6427231634944	2.61677070200793
Y2.4t90	69179	63056	62937	62885	62777	62173	91.1490481215398	90.7457465415805	89.872649214357	0.87309732722358
Y2.5t30	71995	61548	61519	61530	61472	59687	85.4892700882006	85.383707201889	82.9043683589138	2.47933884297521
Y2.5t7	62618	57262	57210	57214	57145	55725	91.4465489156473	91.2597016832221	88.9919831358395	2.26771854738254
Y2.5t90	62601	57614	57140	57205	56582	52457	92.0336735834891	90.3851376176099	83.7957860098082	6.58935160780179
Y3	65513	59469	58773	58824	55534	44535	90.774350128982	84.7679086593501	67.9788744218705	16.7890342374796
Y3.1t30	73076	66086	65981	65996	65304	48603	90.4346160162023	89.3644972357546	66.5102085500027	22.8542886857518
Y3.1t7	64861	60297	60218	60172	57805	57583	92.9634140700884	89.1213518138789	88.779081420268	0.342270393610953
Y3.1t90	66711	61439	61415	61415	61402	61393	92.0972553252087	92.0417922081816	92.0283011797155	0.0134910284660701
Y3.2t30	62486	56882	56844	56812	56761	55868	91.0315910764011	90.8379477002849	89.4088275773773	1.42912012290753
Y3.2t7	78800	74167	74108	74048	73476	71002	94.1205583756345	93.243654822335	90.1040609137056	3.13959390862944
Y3.2t90	66727	60919	60870	60868	60846	60822	91.2958772311059	91.1864762390037	91.1505087895455	0.0359674494582403
Y3.3t30	66736	61410	61154	61064	59539	57810	92.0192999280748	89.2157156557181	86.6249100935028	2.5908055622153
Y3.3t7	64727	58181	58007	58111	57873	56770	89.8867551408222	89.4109104392294	87.7068302254083	1.70408021382113
Y3.3t90	64145	59151	59130	59148	59090	57303	92.2145139917375	92.1194169459818	89.3335411957284	2.78587575025333
Y3.4t30	63363	57892	57786	57817	57701	54952	91.3656234711109	91.0641857235295	86.7256916497009	4.33849407382858
Y3.4t7	64954	59284	59199	59147	59038	58719	91.2707454506266	90.892015888167	90.4008990978231	0.491116790343936
Y3.4t90	65469	59834	59808	59736	59694	59691	91.3928729627763	91.1790312972552	91.1744489758512	0.00458232140402328
Y3.5t30	65217	59293	59265	59260	59237	54429	90.9164788322063	90.8306116503366	83.4583007498045	7.37231090053207
Y3.5t7	79328	73204	72974	72982	71886	70259	92.280153287616	90.6186970552642	88.5677188382412	2.05097821702299
Y3.5t90	66095	60572	60522	60560	60485	58794	91.6438459792723	91.5122172630305	88.9537786519404	2.5584386110901
Z1.1t30	72440	66229	66123	66115	65929	47500	91.4260077305356	91.0118718939812	65.5715074544451	25.4403644395362
