sample_id	input_path	reads.in	reads.out	filt_f	filt_r
Y1.3t90	Y1.3t90_R1.trimmed.fastq.gz	91938	87593	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.3t90_R2.filtered.fastq.gz
Y1.4t30	Y1.4t30_R1.trimmed.fastq.gz	78161	71820	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.4t30_R2.filtered.fastq.gz
Y1.4t7	Y1.4t7_R1.trimmed.fastq.gz	79008	69861	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.4t7_R2.filtered.fastq.gz
Y1.4t90	Y1.4t90_R1.trimmed.fastq.gz	37066	34427	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.4t90_R2.filtered.fastq.gz
Y1.5t30	Y1.5t30_R1.trimmed.fastq.gz	67121	61458	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.5t30_R2.filtered.fastq.gz
Y1.5t7	Y1.5t7_R1.trimmed.fastq.gz	62899	58342	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.5t7_R2.filtered.fastq.gz
Y1.5t90	Y1.5t90_R1.trimmed.fastq.gz	65348	60249	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.5t90_R2.filtered.fastq.gz
Y2.1t30	Y2.1t30_R1.trimmed.fastq.gz	79583	72212	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.1t30_R2.filtered.fastq.gz
Y2.1t7	Y2.1t7_R1.trimmed.fastq.gz	65806	62071	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.1t7_R2.filtered.fastq.gz
Y2.1t90	Y2.1t90_R1.trimmed.fastq.gz	64702	58438	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.1t90_R2.filtered.fastq.gz
Y2.2t30	Y2.2t30_R1.trimmed.fastq.gz	65354	60972	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.2t30_R2.filtered.fastq.gz
Y2.2t7	Y2.2t7_R1.trimmed.fastq.gz	65628	59548	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.2t7_R2.filtered.fastq.gz
Y2.2t90	Y2.2t90_R1.trimmed.fastq.gz	68529	63695	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.2t90_R2.filtered.fastq.gz
Y2.3t30	Y2.3t30_R1.trimmed.fastq.gz	65453	59236	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.3t30_R2.filtered.fastq.gz
Y2.3t7	Y2.3t7_R1.trimmed.fastq.gz	63835	58451	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.3t7_R2.filtered.fastq.gz
Y2.3t90	Y2.3t90_R1.trimmed.fastq.gz	63367	57845	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.3t90_R2.filtered.fastq.gz
Y2.4t30	Y2.4t30_R1.trimmed.fastq.gz	77397	69935	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.4t30_R2.filtered.fastq.gz
Y2.4t7	Y2.4t7_R1.trimmed.fastq.gz	65042	60745	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.4t7_R2.filtered.fastq.gz
Y2.4t90	Y2.4t90_R1.trimmed.fastq.gz	69179	63056	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y2.4t90_R2.filtered.fastq.gz
