asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Species_addSpecies
ASV03603	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV06540	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV12869	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV13159	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV04814	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV06233	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV04771	NA	NA	NA	NA	NA	NA	NA	NA
ASV11193	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	NA
ASV05540	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV12653	NA	NA	NA	NA	NA	NA	NA	NA
ASV06094	NA	NA	NA	NA	NA	NA	NA	NA
ASV06833	NA	NA	NA	NA	NA	NA	NA	NA
ASV01845	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV07116	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV14377	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV08632	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV11627	NA	NA	NA	NA	NA	NA	NA	NA
ASV06779	NA	NA	NA	NA	NA	NA	NA	NA
ASV13680	NA	NA	NA	NA	NA	NA	NA	NA
ASV13503	NA	NA	NA	NA	NA	NA	NA	NA
ASV00361	NA	NA	NA	NA	NA	NA	NA	NA
ASV12608	NA	NA	NA	NA	NA	NA	NA	NA
ASV04437	NA	NA	NA	NA	NA	NA	NA	NA
ASV07624	NA	NA	NA	NA	NA	NA	NA	NA
ASV13558	NA	NA	NA	NA	NA	NA	NA	NA
ASV12587	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV10758	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV13111	NA	NA	NA	NA	NA	NA	NA	NA
ASV03849	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV01329	NA	NA	NA	NA	NA	NA	NA	NA
ASV04954	NA	NA	NA	NA	NA	NA	NA	NA
ASV11686	NA	NA	NA	NA	NA	NA	NA	NA
ASV07484	NA	NA	NA	NA	NA	NA	NA	NA
ASV03757	NA	NA	NA	NA	NA	NA	NA	NA
ASV08479	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13931	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13588	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV12618	NA	NA	NA	NA	NA	NA	NA	NA
ASV11192	NA	NA	NA	NA	NA	NA	NA	NA
ASV14220	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13909	NA	NA	NA	NA	NA	NA	NA	NA
ASV11203	NA	NA	NA	NA	NA	NA	NA	NA
ASV12632	NA	NA	NA	NA	NA	NA	NA	NA
ASV00179	NA	NA	NA	NA	NA	NA	NA	NA
ASV14179	NA	NA	NA	NA	NA	NA	NA	NA
ASV13679	NA	NA	NA	NA	NA	NA	NA	NA
ASV12181	NA	NA	NA	NA	NA	NA	NA	NA
ASV10769	NA	NA	NA	NA	NA	NA	NA	NA
ASV08156	NA	NA	NA	NA	NA	NA	NA	NA
ASV03956	NA	NA	NA	NA	NA	NA	NA	NA
ASV12216	NA	NA	NA	NA	NA	NA	NA	NA
ASV03300	NA	NA	NA	NA	NA	NA	NA	NA
ASV08505	NA	NA	NA	NA	NA	NA	NA	NA
ASV09945	NA	NA	NA	NA	NA	NA	NA	NA
ASV06206	NA	NA	NA	NA	NA	NA	NA	NA
ASV05313	NA	NA	NA	NA	NA	NA	NA	NA
ASV03201	NA	NA	NA	NA	NA	NA	NA	NA
ASV11716	NA	NA	NA	NA	NA	NA	NA	NA
ASV06834	NA	NA	NA	NA	NA	NA	NA	NA
ASV14375	NA	NA	NA	NA	NA	NA	NA	NA
ASV03585	NA	NA	NA	NA	NA	NA	NA	NA
ASV13910	NA	NA	NA	NA	NA	NA	NA	NA
ASV04772	NA	NA	NA	NA	NA	NA	NA	NA
ASV10757	NA	NA	NA	NA	NA	NA	NA	NA
ASV06164	NA	NA	NA	NA	NA	NA	NA	NA
ASV13991	NA	NA	NA	NA	NA	NA	NA	NA
ASV12185	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV02429	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	NA	NA	NA	NA
ASV06533	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	NA	NA	NA	NA
ASV02781	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	NA	NA	NA	NA
ASV14539	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	NA	NA	NA	NA
ASV02920	Bacteria	Chloroflexota	JG30-KF-CM66	NA	NA	NA	NA	NA
ASV03702	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	NA	NA	NA	NA
ASV08410	Bacteria	Chloroflexota	JG30-KF-CM66	NA	NA	NA	NA	NA
ASV05003	Bacteria	Chloroflexota	JG30-KF-CM66	NA	NA	NA	NA	NA
ASV03599	Bacteria	Chloroflexota	JG30-KF-CM66	NA	NA	NA	NA	NA
ASV12467	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV10309	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13105	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV09932	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV08010	Eukaryota	NA	NA	NA	NA	NA	NA	NA
