sample_id	sample_type	include_biological_analysis	diet_code	timepoint_day	group	pairs_processed	r1_with_adapter_pct	r2_with_adapter_pct	pairs_too_short_pct	pairs_discarded_untrimmed_pct	pairs_written	pairs_written_pct	r1_trimmed	r2_trimmed	sample_log	reads.in	reads.out	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct	cutadapt_retention_pct	raw_to_nonchim_pct
X2.5t7	Intestine	yes	X	7	X.t7	65788	99.5	99.5	0	0	65788	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.5t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.5t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.5t7.cutadapt.log	65788	59504	65788	59504	59310	59325	59134	58859	90.4481060375752	89.8856934395331	89.4676840761233	0.41800936340974	100	89.4676840761233
X2.5t90	Intestine	yes	X	90	X.t90	31070	99.8	98.8	0	0	31070	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.5t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.5t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.5t90.cutadapt.log	31070	28762	31070	28762	28714	28694	28661	28644	92.5716124879305	92.2465400708078	92.1918249114902	0.0547151593176698	100	92.1918249114902
X3	Feed	no	X	NA	X.Feed	62075	100	99.5	0	0	62075	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.cutadapt.log	62075	57155	62075	57155	56640	56549	54129	48092	92.0741039065646	87.1993556182038	77.4740233588401	9.72533225936367	100	77.4740233588401
X3.1t30	Intestine	yes	X	30	X.t30	69434	99.7	99.5	0	0	69434	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.1t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.1t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.1t30.cutadapt.log	69434	63060	69434	63060	62778	62767	62100	60633	90.8200593369243	89.4374513926895	87.3246536279056	2.11279776478382	100	87.3246536279056
X3.1t7	Intestine	yes	X	7	X.t7	62299	99.7	97.5	0	0	62299	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.1t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.1t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.1t7.cutadapt.log	62299	55044	62299	55044	53595	53342	47055	35698	88.3545482270984	75.5309073981926	57.3010802741617	18.2298271240309	100	57.3010802741617
X3.1t90	Intestine	yes	X	90	X.t90	43001	99.7	99	0	0	43001	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.1t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.1t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.1t90.cutadapt.log	43001	39579	43001	39579	39439	39402	39190	39087	92.0420455338248	91.137415408944	90.8978860956722	0.239529313271784	100	90.8978860956722
X3.2t30	Intestine	yes	X	30	X.t30	64707	99.6	99.6	0	0	64707	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.2t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.2t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.2t30.cutadapt.log	64707	58642	64707	58642	58592	58615	58576	48950	90.626980079435	90.5249818412227	75.6486933407514	14.8762885004714	100	75.6486933407514
X3.2t7	Intestine	yes	X	7	X.t7	65614	99.7	99.2	0	0	65614	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.2t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.2t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.2t7.cutadapt.log	65614	58277	65614	58277	57048	57024	53220	45721	88.8179351967568	81.1107385618923	69.6817752308959	11.4289633309964	100	69.6817752308959
X3.2t90	Intestine	yes	X	90	X.t90	34388	99.7	99.4	0	0	34388	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.2t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.2t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.2t90.cutadapt.log	34388	32143	34388	32143	32059	32073	31849	30262	93.4715598464581	92.6166104455043	88.0016284750494	4.61498197045481	100	88.0016284750494
X3.3t30	Intestine	yes	X	30	X.t30	77303	100	98.8	0	0	77303	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.3t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X3.3t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X3.3t30.cutadapt.log	77303	69847	77303	69847	69813	69798	69266	68941	90.3548374577959	89.6032495504703	89.182826022276	0.420423528194249	100	89.182826022276
