"assemblage","sequencing_depth","Method","expected_asvs","timepoint","diet_code","samples","total_reads","observed_asvs_pooled"
"D07__BL15",151000,"Rarefaction",137.011771309707,"D07","BL15",15,746251,138
"D07__BL15",152000,"Rarefaction",137.02365555006,"D07","BL15",15,746251,138
"D07__BL15",153000,"Rarefaction",137.035354829094,"D07","BL15",15,746251,138
"D07__BL15",154000,"Rarefaction",137.046872602406,"D07","BL15",15,746251,138
"D07__BL15",155000,"Rarefaction",137.058212248285,"D07","BL15",15,746251,138
"D07__BL15",156000,"Rarefaction",137.069377069626,"D07","BL15",15,746251,138
"D07__BL15",157000,"Rarefaction",137.080370296431,"D07","BL15",15,746251,138
"D07__BL15",158000,"Rarefaction",137.091195087998,"D07","BL15",15,746251,138
"D07__BL15",159000,"Rarefaction",137.10185453448,"D07","BL15",15,746251,138
"D07__BL15",160000,"Rarefaction",137.112351659383,"D07","BL15",15,746251,138
"D07__BL15",161000,"Rarefaction",137.122689420934,"D07","BL15",15,746251,138
"D07__BL15",162000,"Rarefaction",137.132870714236,"D07","BL15",15,746251,138
"D07__BL15",163000,"Rarefaction",137.14289837287,"D07","BL15",15,746251,138
"D07__BL15",164000,"Rarefaction",137.152775170563,"D07","BL15",15,746251,138
"D07__BL15",165000,"Rarefaction",137.162503822782,"D07","BL15",15,746251,138
"D07__BL15",166000,"Rarefaction",137.172086988455,"D07","BL15",15,746251,138
"D07__BL15",167000,"Rarefaction",137.181527271075,"D07","BL15",15,746251,138
"D07__BL15",168000,"Rarefaction",137.190827220629,"D07","BL15",15,746251,138
"D07__BL15",169000,"Rarefaction",137.19998933466,"D07","BL15",15,746251,138
"D07__BL15",170000,"Rarefaction",137.209016059722,"D07","BL15",15,746251,138
"D07__BL15",171000,"Rarefaction",137.217909792646,"D07","BL15",15,746251,138
"D07__BL15",172000,"Rarefaction",137.226672881847,"D07","BL15",15,746251,138
"D07__BL15",173000,"Rarefaction",137.235307628551,"D07","BL15",15,746251,138
"D07__BL15",174000,"Rarefaction",137.24381628783,"D07","BL15",15,746251,138
"D07__BL15",175000,"Rarefaction",137.252201069909,"D07","BL15",15,746251,138
"D07__BL15",176000,"Rarefaction",137.26046414106,"D07","BL15",15,746251,138
"D07__BL15",177000,"Rarefaction",137.26860762508,"D07","BL15",15,746251,138
"D07__BL15",178000,"Rarefaction",137.276633603592,"D07","BL15",15,746251,138
"D07__BL15",179000,"Rarefaction",137.284544117897,"D07","BL15",15,746251,138
"D07__BL15",180000,"Rarefaction",137.292341169262,"D07","BL15",15,746251,138
"D07__BL15",181000,"Rarefaction",137.300026720076,"D07","BL15",15,746251,138
"D07__BL15",182000,"Rarefaction",137.307602694976,"D07","BL15",15,746251,138
"D07__BL15",183000,"Rarefaction",137.315070981417,"D07","BL15",15,746251,138
"D07__BL15",184000,"Rarefaction",137.322433430546,"D07","BL15",15,746251,138
"D07__BL15",185000,"Rarefaction",137.329691858339,"D07","BL15",15,746251,138
"D07__BL15",186000,"Rarefaction",137.33684804596,"D07","BL15",15,746251,138
"D07__BL15",187000,"Rarefaction",137.343903740866,"D07","BL15",15,746251,138
"D07__BL15",188000,"Rarefaction",137.350860657368,"D07","BL15",15,746251,138
"D07__BL15",189000,"Rarefaction",137.357720477559,"D07","BL15",15,746251,138
"D07__BL15",190000,"Rarefaction",137.364484851795,"D07","BL15",15,746251,138
"D07__BL15",191000,"Rarefaction",137.371155399584,"D07","BL15",15,746251,138
"D07__BL15",192000,"Rarefaction",137.377733710088,"D07","BL15",15,746251,138
"D07__BL15",193000,"Rarefaction",137.384221342943,"D07","BL15",15,746251,138
"D07__BL15",194000,"Rarefaction",137.390619828744,"D07","BL15",15,746251,138
"D07__BL15",195000,"Rarefaction",137.396930669775,"D07","BL15",15,746251,138
"D07__BL15",196000,"Rarefaction",137.403155340469,"D07","BL15",15,746251,138
"D07__BL15",197000,"Rarefaction",137.409295288112,"D07","BL15",15,746251,138
"D07__BL15",198000,"Rarefaction",137.41535193357,"D07","BL15",15,746251,138
"D07__BL15",199000,"Rarefaction",137.421326671414,"D07","BL15",15,746251,138
"D07__BL15",2e+05,"Rarefaction",137.427220870726,"D07","BL15",15,746251,138
"D07__BL15",201000,"Rarefaction",137.433035875686,"D07","BL15",15,746251,138
"D07__BL15",202000,"Rarefaction",137.438773006022,"D07","BL15",15,746251,138
"D07__BL15",203000,"Rarefaction",137.444433557298,"D07","BL15",15,746251,138
