"sample_id","sample_type","diet_code","timepoint","diet_time","prevalence_group"
"Y3.2t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y3.2t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y3.3t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y3.3t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y3.3t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y3.4t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y3.4t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y3.4t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y3.5t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y3.5t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y3.5t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Z1.1t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z1.1t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z1.1t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z1.2t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z1.2t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z1.2t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z1.3t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z1.3t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z1.3t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z1.4t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z1.4t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z1.4t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z1.5t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z1.5t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z2.1t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z2.1t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z2.2t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z2.2t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z2.2t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z2.3t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z2.3t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z2.3t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z2.4t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z2.4t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z2.4t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z2.5t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z2.5t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z2.5t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z3","Feed","BL30",,,"Feed_BL30"
"Z3.1t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z3.1t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z3.1t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z3.2t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z3.2t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z3.2t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z3.3t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z3.3t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z3.3t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z3.4t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z3.4t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z3.4t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
"Z3.5t30","Intestine","BL30","D30","BL30_D30","BL30_D30"
"Z3.5t7","Intestine","BL30","D07","BL30_D07","BL30_D07"
"Z3.5t90","Intestine","BL30","D90","BL30_D90","BL30_D90"
