"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula"
"Total",43,2661.50838976587,1,,,"aitchison","Genus","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Model",2,2884.1096313984,0.287617546092504,8.47854749202861,0.001,"aitchison","Genus","time_within_diet_local_ordination","Ctrl","timepoint"
"Residual",42,7143.47620465768,0.712382453907496,,,"aitchison","Genus","time_within_diet_local_ordination","Ctrl","timepoint"
"Total",44,10027.5858360561,1,,,"aitchison","Genus","time_within_diet_local_ordination","Ctrl","timepoint"
"Model",2,2054.38509264531,0.258151105390052,7.30765153467199,0.001,"aitchison","Genus","time_within_diet_local_ordination","BL15","timepoint"
"Residual",42,5903.68694249568,0.741848894609948,,,"aitchison","Genus","time_within_diet_local_ordination","BL15","timepoint"
"Total",44,7958.072035141,1,,,"aitchison","Genus","time_within_diet_local_ordination","BL15","timepoint"
"Model",2,2157.40534445651,0.274615439509741,7.57158215013947,0.001,"aitchison","Genus","time_within_diet_local_ordination","BL30","timepoint"
"Residual",40,5698.69097812474,0.72538456049026,,,"aitchison","Genus","time_within_diet_local_ordination","BL30","timepoint"
"Total",42,7856.09632258125,1,,,"aitchison","Genus","time_within_diet_local_ordination","BL30","timepoint"
"Model",2,2338.55241570019,0.0810859876318086,5.86803346661202,0.001,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Residual",133,26501.8487929399,0.918914012368191,,,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Total",135,28840.4012086401,1,,,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
